I in [mA],u(I) in [mA],P in [mW],u(P) in [mW]
520,0.1,38,4
500,0.1,32,7
480,0.1,28,3
460,0.1,30,2
440,0.1,19,2
420,0.1,14,3
400,0.1,12,3
380,0.1,12,3
360,0.1,10,1
340,0.1,8,1
320,0.1,8,1
