0,65.3634,176.997
0.015625,-62.2597,-31.2544
0.03125,181.094,-91.4095
0.046875,268.401,-36.2547
0.0625,-542.306,682.791
0.078125,-1082.69,976.493
0.09375,-659.224,550.06
0.109375,-27.2176,190.715
0.125,146.971,-36.2549
0.140625,78.8254,67.4456
0.15625,-173.4,0.487351
0.171875,2.06103,-99.51
0.1875,74.0879,-24.0687
0.203125,-0.798021,-87.1556
0.21875,-12.2802,-194.369
0.234375,35.758,68.5356
0.25,-93.8756,-56.1246
0.265625,62.9288,-127.914
0.28125,80.0549,-182.997
0.296875,39.1077,-68.8074
0.3125,-9.11839,49.0256
0.328125,13.6706,57.3954
0.34375,26.9863,25.15
0.359375,-16.3405,-67.2087
0.375,34.6108,-34.9413
0.390625,132.845,-55.3073
0.40625,-37.1112,31.7116
0.421875,-136.9,10.3418
0.4375,-29.8736,20.4343
0.453125,-65.6104,-56.3173
0.46875,45.1009,59.6463
0.484375,26.1233,-0.318119
0.5,-52.2342,132.023
0.515625,31.1296,-17.759
0.53125,-59.1523,14.695
0.546875,41.6315,18.8961
0.5625,-35.5447,42.218
0.578125,19.1548,-21.258
0.59375,-17.8729,25.9041
0.609375,32.3582,20.1212
0.625,39.2752,-20.0333
0.640625,12.302,-17.5591
0.65625,-4.21305,-1.62226
0.671875,23.2697,60.5862
0.6875,-17.3943,22.7307
0.703125,40.518,27.3692
0.71875,-12.8396,-35.2136
0.734375,5.54684,26.7259
0.75,2.79649,-14.6696
0.765625,-14.6328,-10.0104
0.78125,-5.43074,10.948
0.796875,18.8049,-20.2838
0.8125,9.15195,4.39224
0.828125,-1.96895,7.88214
0.84375,4.25138,0.0717854
0.859375,2.71839,4.2976
0.875,-4.0883,3.87935
0.890625,-3.55391,0.987133
0.90625,2.26585,-0.184656
0.921875,0.0169459,-0.363864
0.9375,0.421451,-0.116896
0.953125,-1.47604,0.268721
0.96875,-0.0412367,0.238978
0.984375,0.0293918,0.0413334
