-5555.56,-4.89131,-2.60076
-5550.13,5.70602,-10.9805
-5544.7,18.1423,-21.65
-5539.28,12.6338,-6.43247
-5533.85,-5.50021,11.9389
-5528.43,-14.2006,10.906
-5523,-2.01259,-0.719866
-5517.58,-10.4913,3.5476
-5512.15,-17.0888,3.94143
-5506.73,4.24236,-20.5234
-5501.3,12.5187,-18.278
-5495.88,14.7777,3.09814
-5490.45,20.7049,-2.67998
-5485.03,19.6871,-20.8505
-5479.6,9.60782,-22.5075
-5474.17,-13.9525,-14.902
-5468.75,-23.2265,1.32603
-5463.32,1.00566,6.9632
-5457.9,17.3958,-4.87198
-5452.47,15.961,1.44508
-5447.05,12.9836,12.1247
-5441.62,0.95129,0.88711
-5436.2,-1.6719,-8.6113
-5430.77,5.02931,-9.61989
-5425.35,7.32011,-18.6544
-5419.92,12.7926,-5.32998
-5414.5,6.22426,20.0332
-5409.07,8.59768,9.83588
-5403.65,19.6342,-6.65847
-5398.22,4.77129,-16.4684
-5392.79,-17.4811,-29.1307
-5387.37,-19.1263,-19.1709
-5381.94,5.13739,-21.2728
-5376.52,35.0522,-34.126
-5371.09,48.162,-19.8165
-5365.67,49.5123,0.814743
-5360.24,42.2954,12.7351
-5354.82,19.1344,8.54654
-5349.39,3.4823,17.3138
-5343.97,22.3059,21.8722
-5338.54,41.6406,-12.7626
-5333.12,19.0759,-33.009
-5327.69,-17.4363,-48.9606
-5322.27,-18.4702,-59.7804
-5316.84,1.97746,-24.3244
-5311.41,3.03918,-1.62425
-5305.99,6.71413,-9.65372
-5300.56,11.7805,-8.00469
-5295.14,-1.78872,5.9286
-5289.71,-8.30998,0.882802
-5284.29,12.0397,-29.0444
-5278.86,40.1941,-36.7123
-5273.44,30.4843,-20.4086
-5268.01,3.9645,1.99207
-5262.59,5.29563,9.01054
-5257.16,6.69377,-23.8708
-5251.74,-9.51995,-34.1533
-5246.31,-15.9671,-9.11707
-5240.88,-10.8161,-7.75816
-5235.46,-25.1232,-13.7525
-5230.03,-37.9905,-7.39073
-5224.61,-23.93,-2.65977
-5219.18,-36.0633,5.1757
