0.25,59.7606,18.3275,18.3275
0.5,152.193,17.482,17.482
0.75,165.527,17.5409,17.5409
1,212.765,17.12,17.12
1.25,217.534,17.8834,17.8834
1.5,230.831,16.3046,16.3046
1.75,232.01,15.2749,15.2749
2,206.6,18.5114,18.5114
2.25,193.013,16.9884,16.9884
2.5,147.293,18.4304,18.4304
2.75,120.534,18.8126,18.8126
3,111.627,16.9616,16.9616
3.25,110.561,19.1572,19.1572
3.5,144.82,19.2001,19.2001
3.75,152.372,17.7707,17.7707
4,181.751,18.0707,18.0707
4.25,188.949,20.9509,20.9509
4.5,182.899,17.4424,17.4424
4.75,173.46,18.8297,18.8297
5,150.667,19.5322,19.5322
5.25,132.152,18.8725,18.8725
5.5,102.855,19.775,19.775
5.75,85.5347,17.2693,17.2693
6,106.581,18.458,18.458
6.25,110.294,19.2202,19.2202
6.5,142.835,20.8913,20.8913
