I in [mA],u(I) in [mA],P in [mW],u(P) in [mW]
540,0.1,21,3
520,0.1,18,2
500,0.1,18,3
480,0.1,14,2
460,0.1,14,2
440,0.1,13,1
420,0.1,12,1
400,0.1,12,1
380,0.1,11,2
360,0.1,10,2
340,0.1,11,2
320,0.1,10,1
